,Company_Name,No_GoogleReviews,No_TrustPilotReviews,Google_Rating,TrustPilot_Rating,Website
0,Whissh,11,24,5.0,4.7,https://whissh.co.uk/
1,IVS CLEANING,32,15,5.0,4.5,https://www.ivscleaning.co.uk/
2,Chores & Paws,8,12,5.0,3.9,https://www.choresandpawsintl.com/
3,Lavinia Cleaning,2,0,5.0,0.0,https://www.lavinia.cleaning/
4,Better Call Moe,78,0,5.0,0.0,https://www.bettercallmoe.com/
5,Quick Cleaning,9,0,5.0,0.0,https://www.quickcleaningservices.co.uk/
6,Iva Cleaning Services,26,0,5.0,0.0,https://www.iva-cleaninglondon.co.uk/
7,Cleaning Express,494,222,4.9,4.9,https://cleaning-express.com/
8,housekeep,369159,4275,4.9,4.5,https://housekeep.com/
9,Wimbledon Cleaning Services,61,4,4.9,4.0,https://wimbledon-cleaning-services.co.uk/
10,MD Cleaning Services,26,0,4.9,0.0,https://cleanerhelp.wixsite.com/my-site
11,Anyclean,287,299,4.7,4.9,https://www.anyclean.co.uk/
12,Glimmr: House and Office Cleaners,2500,32,4.7,4.1,https://www.glimmr.co.uk/
13,Star Domestic Cleaners,42,2,4.7,3.4,https://domesticcleaners.co.uk/
14,Happy Hands,18,0,4.7,0.0,https://happy-hands.biz/
15,TidyChoice,65,124,4.6,4.0,https://www.tidychoice.com/
16,What Cleaning,30,4,4.6,3.3,https://whatcleaning.com/
17,Cleaning Estimate,131,11,4.6,2.2,https://cleaningestimate.co.uk/
18,SwiftCleaning,29,0,4.6,0.0,https://swiftcleaning.co.uk/
19,Top TD Cleaning Company,22,0,4.6,0.0,https://www.topcleaningcompanies.co.uk/
20,West Clean,135,0,4.6,0.0,https://westclean.uk/
21,GET SET CLEAN,17,74,4.5,4.5,https://www.getsetclean.co.uk/
22,Samyx Cleaning,44,25,4.5,4.3,https://samyxcleaning.com/
23,Myhome,38,37,4.5,4.1,https://myhome.co.uk/
24,ServiceMaster Clean,33,6,4.5,3.9,https://www.servicemasterclean.co.uk/
25,Greenleaf Cleaning Ltd.,28,0,4.5,0.0,https://www.greenleaf-cleaning.co.uk/
26,All Care Cleaning,24,0,4.5,0.0,http://www.allcarecleaning.co.uk/
27,Neat,473,0,4.5,0.0,https://www.neatservices.co.uk/
28,Housekeepers London,13,0,4.4,0.0,https://www.housekeeperlondon.co.uk/
29,London Domestic Cleaners,9,0,4.4,0.0,https://www.london-domestic-cleaners.co.uk/
30,Move Out Mates,55,0,4.4,0.0,https://www.moveoutmates.co.uk/
31,Miss Maid,137,486,4.3,4.4,https://www.missmaid.co.uk/
32,Cleaning Agency,24,6,4.3,3.9,https://www.cleaning-agency.co.uk/
33,Glory Clean,46,24,4.3,3.7,https://www.gloryclean.co.uk/
34,Go For Cleaning,252,0,4.2,0.0,https://www.goforcleaning.co.uk/
35,Fast Klean,127,54,4.1,4.7,https://www.fastklean.co.uk/
36,eMop,251,176,4.1,4.0,https://www.emop.co.uk/
37,Homeclean,165,5,4.1,3.6,https://www.homeclean.co.uk/uk/london
38,Chalcot House Services,8,0,4.1,0.0,https://www.chalcot.com/
39,End To End Tenancy Cleaning,156,0,4.1,0.0,https://www.endoftennancycleaning.co.uk/
40,Fantastic Cleaners,2373,18605,4.0,4.5,https://fantasticcleaners.com/
41,MOLLY MAID,36,3314,4.0,4.3,https://www.mollymaid.co.uk/region/greater-london/
42,Tenancy Cleaner,141,505,4.0,4.2,https://tenancycleaner.com/
43,The Happy House Cleaning Service,521,278,4.0,4.1,https://thehappyhousecleaning.co.uk/
44,handy,3673569,15427,4.0,3.6,https://www.handy.com/
45,London Cleaning Team,13,1,3.9,3.3,https://www.londoncleaningteam.co.uk/
46,Maid2Clean,0,3413,0.0,4.5,https://www.maid2clean.co.uk/domestic-cleaning/london/
47,House Cleaner,0,19,0.0,2.1,https://www.housecleanerlondon.co.uk/
48,A M B Enterprise Limited,0,0,0.0,0.0,https://www.atobcleaningservices.co.uk/
