,Role,Datetime_Posted
0,Spa Attendant,35 minutes ago
1,Cleaner,55 minutes ago
2,Night Cleaners Needed - Standard DBS Required,1 day ago
3,Housekeeping Assistant,1 day ago
4,End of tenancy cleaner(self-employee),1 hour ago
5,Domestic Cleaner,1 hour ago
6,Area Cleaning / Mobilisation Manager,1 day ago
7,Refrigeration Case Cleaning Technician - NO EXPERIENCE NEEDED,2 days ago
8,Housekeeping Supervisor,2 hours ago
9,Driver Cleaner/Caretaker - MUST HAVE CRB/DBS CHECK,12 days ago
10,Domestic Cleaner,2 days ago
11,Public Area Attendant,2 hours ago
12,Domestic Cleaner,3 days ago
13,Domestic Cleaner,8 days ago
14,Domestic Cleaner,8 days ago
15,Housekeeper,2 hours ago
16,Linen Porter,2 hours ago
17,Room Attendant,2 hours ago
18,Domestic Cleaner,8 days ago
19,Domestic Cleaner,8 days ago
20,Domestic Cleaner,8 days ago
21,Weekend Housekeeper / £11 per hour / Immediate Start / Central London,2 hours ago
22,Cleaner,3 hours ago
23,Housekeeping Supervisor,3 hours ago
24,Domestic Cleaner,3 hours ago
25,Housekeeping Assistant,3 hours ago
26,Domestic Cleaner,8 days ago
27,Domestic Cleaner,8 days ago
28,Office Cleaner,3 hours ago
29,Cleaner,3 hours ago
30,Domestic Cleaner,8 days ago
31,Domestic Cleaner,8 days ago
32,"STREET/ROAD SWEEPERS, START ASAP, £10+ ph",4 hours ago
33,Domestic Cleaner,8 days ago
34,Domestic Cleaner,8 days ago
35,Domestic Cleaner,5 hours ago
36,Domestic Cleaner,8 days ago
37,Domestic Cleaner,8 days ago
38,Domestic Cleaner,8 days ago
39,Industrial Cleaner,5 hours ago
40,Room Attendant,16 hours ago
41,Night Cleaners wanted,16 hours ago
42,Domestic Cleaner,8 days ago
43,Domestic Cleaner,8 days ago
44,Domestic Cleaner,8 days ago
45,Public Area Attendant,19 hours ago
46,Cleaner,20 hours ago
47,Cleaner,21 hours ago
48,cleaner operative,22 hours ago
49,Domestic Cleaner,23 hours ago
50,Domestic Cleaner,8 days ago
51,Domestic Cleaner,8 days ago
52,Housekeeper,23 hours ago
53,Linen Porter,23 hours ago
54,Domestic Cleaner,8 days ago
55,Domestic Cleaner,8 days ago
56,Housekeeper,23 hours ago
57,Domestic Cleaner,8 days ago
58,Domestic Cleaner,8 days ago
59,Housekeeping Attendant,24 hours ago
60,Domestic Cleaner,8 days ago
61,Domestic Cleaner,8 days ago
62,Domestic Cleaner,8 days ago
63,Room Attendant,1 day ago
64,Cleaner,1 day ago
65,Cleaner,1 day ago
66,Domestic Cleaner,8 days ago
67,Domestic Cleaner,8 days ago
68,Domestic Cleaner,8 days ago
69,Domestic Cleaner,1 day ago
70,Cleaner,1 day ago
71,Cleaner,1 day ago
72,Housekeeper,1 day ago
73,Housekeeper,2 days ago
74,Domestic Cleaner,8 days ago
75,Domestic Cleaner,8 days ago
76,Domestic Cleaner,2 days ago
77,Cleaning staff,2 days ago
78,Domestic Cleaner,8 days ago
79,Domestic Cleaner,8 days ago
80,Domestic Cleaner,2 days ago
81,Domestic Cleaner,8 days ago
82,Domestic Cleaner,8 days ago
83,Cleaner,3 days ago
84,Domestic Cleaner,8 days ago
85,Domestic Cleaner,8 days ago
86,Domestic Cleaner,8 days ago
87,Room Attendant,3 days ago
88,House Cleaner,3 days ago
89,Cleaner,3 days ago
90,Domestic Cleaner,8 days ago
91,Domestic Cleaner,8 days ago
92,Domestic Cleaner,8 days ago
93,Domestic Cleaner,3 days ago
94,Housekeeping Team Member - Part Time,3 days ago
95,Room Attendant,3 days ago
96,Linen Porter,3 days ago
97,Room Attendant,2 days ago
98,Domestic Cleaner,8 days ago
99,Domestic Cleaner,8 days ago
100,Room Attendant,1 day ago
101,Evening Room Attendant,3 days ago
102,Domestic Cleaner,8 days ago
103,Domestic Cleaner,8 days ago
104,Night cleaner,4 days ago
105,Domestic Cleaner,8 days ago
106,Domestic Cleaner,8 days ago
107,Cleaner,4 days ago
108,Domestic Cleaner,8 days ago
109,Domestic Cleaner,8 days ago
110,Domestic Cleaner,8 days ago
111,Room Attendant,4 days ago
112,Housekeeping Supervisor,4 days ago
113,Housekeeper,4 days ago
114,Domestic Cleaner,8 days ago
115,Domestic Cleaner,8 days ago
116,Domestic Cleaner,8 days ago
117,Domestic Cleaner,4 days ago
118,Hotel Room Cleaner,4 days ago
119,Cleaner,4 days ago
120,Cleaner,4 days ago
121,Domestic Cleaner,4 days ago
122,Domestic Cleaner,8 days ago
123,Domestic Cleaner,8 days ago
124,Cleaner,4 days ago
125,Domestic Cleaner,5 days ago
126,Domestic Cleaner,8 days ago
127,Domestic Cleaner,8 days ago
128,Cleaner,5 days ago
129,Domestic Cleaner,8 days ago
130,Domestic Cleaner,8 days ago
131,Assistant maid,5 days ago
132,Domestic Cleaner,8 days ago
133,Domestic Cleaner,8 days ago
134,Domestic Cleaner,8 days ago
135,Domestic Cleaner,5 days ago
136,Property Cleaner,5 days ago
137,Room Attendant,5 days ago
138,Domestic Cleaner,8 days ago
139,Domestic Cleaner,8 days ago
140,Domestic Cleaner,8 days ago
141,Car Cleaner/Valeter,5 days ago
142,Linen Porter,5 days ago
143,Housekeeper,5 days ago
144,Domestic Cleaner,5 days ago
145,Airbnb cleaner,6 days ago
146,Domestic Cleaner,8 days ago
147,Domestic Cleaner,8 days ago
148,Night Cleaners wanted,6 days ago
149,Room Attendant,6 days ago
150,Domestic Cleaner,8 days ago
151,Domestic Cleaner,8 days ago
152,Cleaner,6 days ago
153,Domestic Cleaner,8 days ago
154,Domestic Cleaner,8 days ago
155,Room Attendant,6 days ago
156,Domestic Cleaner,8 days ago
157,Domestic Cleaner,8 days ago
158,Domestic Cleaner,8 days ago
159,Cleaner,6 days ago
160,Housekeeping Room Attendant,6 days ago
161,Housekeeping Assistant,6 days ago
162,Domestic Cleaner,8 days ago
163,Domestic Cleaner,8 days ago
164,Domestic Cleaner,8 days ago
165,Room Attendant,2 days ago
166,Cleaning Operative,6 days ago
167,Hotel Cleaner,7 days ago
168,Housekeeping Recruitment Day 11th August 2021 10am-2pm,7 days ago
169,Cleaner,7 days ago
170,Domestic Cleaner,8 days ago
