,Role,Company,Area/Zip,Posted Datetime
0,Cleaner,Lidl,West Ealing,a week ago
1,Cleaner,Remora Cleaning,"City of London, London",4 days ago
2,Cleaner,Leaving Care Solutions,London,4 days ago
3,Weekend Cleaner,Deepdene Care Ltd,"Streatham, Greater London",22/07/2021
4,Cleaner,Team CV LTD,"Uxbridge, Greater London",a week ago
5,Cleaner,Randstad CPE,"Wembley, London",22/07/2021
6,Cleaner,Randstad CPE,"Wembley, London",22/07/2021
7,Cleaner,Randstad CPE,"Mitcham, London",a week ago
8,Cleaner,Randstad CPE,"Uxbridge, London",29/07/2021
9,Cleaner,Randstad CPE,"Mitcham, London",a week ago
10,Cleaner,Randstad CPE,"Greenford, London",a week ago
11,Cleaner,Randstad CPE,"Greenford, London",30/07/2021
12,Cleaner,Pertemps Enfield,"City of Westminster, Greater London",21/07/2021
13,Cleaner,Service Care Solutions,"Islington, London",a week ago
14,Cleaner,Daniel Owen Ltd,"Croydon, London",26/07/2021
15,Cleaner,PRS,Poplar,2 weeks ago
16,Cleaner,Pinnacle Group,"Brent, Greater London",19/07/2021
17,Cleaner,Stafforce Recruitment,Poplar,26/07/2021
18,Cleaner,Berry Recruitment,"Croydon, London",21/07/2021
19,Cleaner,Randstad CPE,"Uxbridge, London",21/07/2021
20,Cleaner,Olympic Staff,"Brent, Greater London",4 days ago
21,Cleaner,SkyBlue Solutions,"North London, London",3 days ago
22,Cleaner,Abbatt Property Recruitment,London,a week ago
23,Cleaner,Randstad CPE,"West End, London",28/07/2021
24,Cleaner,Blade Recruitment,"W1C, Marble Arch, Greater London",2 days ago
25,Cleaner,Platinum Recruitment Consultancy,"Brixton, London",28/07/2021
26,Cleaner,AndersElite,London,22/07/2021
27,Cleaner,Ritz Recruitment,Wembley,a week ago
28,Cleaner,Knightwood Associates,"Peckham, London",18/07/2021
29,Cleaner,Multi Trades Recruitment,"SE16, Evelyn, Greater London",21/07/2021
30,Cleaner,Randstad CPE,"North West London, London",a week ago
31,Cleaner,Adecco,London,19/07/2021
32,Cleaner,VGC,"Hillingdon, Greater London",27/07/2021
33,Cleaner,Resourcing Group,"Thornton Heath, London",19/07/2021
34,Cleaner,Insite International,"CR0, Fairfield, Greater London",a week ago
35,Cleaner,Extrastaff,"Edmonton, London",4 days ago
36,Cleaner,Fomac,"HA1, Harrow on the Hill, Greater London",28/07/2021
37,Cleaner,OSP Group Ltd,"W2, Bayswater, Greater London",27/07/2021
38,Cleaner,City Calling,"KT1, Grove, Greater London",27/07/2021
39,Cleaners,JMS Recruitment,"Greenwich, Greater London",21/07/2021
40,Cleaner,Class 1 personnel,"Ealing, Greater London",a week ago
41,CLEANERS,Raven Recruitment,"Bexley, Greater London",2 days ago
42,Cleaner,Right Now Recruitment,"TW6, Stanwell, Surrey",a week ago
43,Cleaner,Think Recruitment,"Enfield, London",20/07/2021
44,Cleaner,Allied Site Services,London,23/07/2021
45,Cleaners - Site clean,DK Recruitment,"W5, Ealing Broadway, Greater London",19/07/2021
46,Event Cleaner,Nu Group,London,2 weeks ago
47,Mobile Cleaner,EMCOR UK,"Enfield, Greater London",a week ago
48,Cleaner / Shunter,National Express Group PLC,Victoria,a week ago
49,Evening Cleaner,Aston Services Group Ltd,London,4 days ago
50,Estate Cleaner,PW Living Ltd,"SW9, Brixton, Greater London",3 days ago
51,Cscs Cleaner,Kemp Services Ltd,London,a week ago
52,Temporary Cleaner,Abbatt Dual Management,"City of London, London",a week ago
53,Cleaner (Weekends),Ballymore Group,"Vauxhall, Greater London",a week ago
54,Cleaning Operative,JPC,"EC2M, Bishopsgate, Greater London",2 days ago
55,Industrial Cleaner,PWA Services Limited,"Newham, Greater London",29/07/2021
56,Estate Cleaner,Abbey Road Housing Co-operative Ltd,"NW6, West Hampstead, Greater London",21/07/2021
57,Deep clean services team leader,Resourcing Group,"West London, London",a week ago
58,General Cleaner,Alida Temp Recruits,London,yesterday
59,Facilities Cleaner,Berry Recruitment,"Croydon, London",21/07/2021
60,Cleaning Operatives,Premier Work Support,"Tower Hamlets, London",2 days ago
61,Cleaning Supervisor,Randstad CPE,"Mitcham, London",yesterday
62,Cleaning Supervisor,Integra People Ltd,"WC2B, Holborn, Greater London",2 days ago
63,Cleaning Operative,S N S Recruitment Ltd,London,3 days ago
64,School Cleaner,Hays Construction and Property,London,27/07/2021
65,Mobile Cleaner,Class 1 personnel,"Lambeth, Greater London",2 days ago
66,Cleaning supervisor,Randstad CPE,"North London, London",yesterday
67,Industrial Cleaners,Clemtech,Paddington,today
68,CSCS Cleaner,Skilled Careers,Canary Wharf,yesterday
69,CSCS Cleaner,Skilled Careers,SW1X 7HY,a week ago
70,CSCS Cleaner,Skilled Careers,SW1X 7HY,a week ago
71,CSCS Cleaner,Skilled Careers,Canary Wharf,2 weeks ago
72,Industrial Cleaners,Barrett Contract Services Ltd,"E16, Royal Docks, Greater London",a week ago
73,Hospital Cleaner,ES Recruitment UK,"Camden, Greater London",27/07/2021
