,Role,Area/Zip,Posted Datetime
0,▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄,▄▄▄▄▄▄▄▄▄▄,▄▄▄▄▄▄
1,Choose a Local Domestic Cleaner - from 12/h - Discount on First 3 Cleans - House Cleaners,"Southwark, London","Ad posted 
11 days ago"
2,"Domestic & Commercial Cleaning, End of Tenancy Cleaning, Carpet & Oven Cleaning, Office cleaning","Westminster, London","Ad posted 
3 days ago"
3,London: Choose a Domestic Cleaner (House Cleaner) from £12/h - Discount First 3 Cleans,"Hyde Park, London","Ad posted 
11 days ago"
4,Domestic Cleaner 2 days a week £14 per hour,"Clapham, London","Ad posted 
1 day ago"
5,Domestic cleaning service.Regular and one off cleaning,"Earls Court, London","Ad posted 
2 days ago"
6,"EXPERIENCE CLEANER; Croydon, Purley, Sanderstand, Caterham, Coulsdon, Kenley","South Croydon, London","Ad posted 
2 days ago"
7,"Magic Dusters, Domestic cleaner available, same day cleaning, end of tenancy","Acton, London","Ad posted 
2 days ago"
8,Domestic cleaning service.Regular and one off cleaning,"Earls Court, London","Ad posted 
2 days ago"
9,"Steam Clean Carpets From 17£, Sofa Cleaning, Rugs, Mattresses, End of Tenancy, Car Upholstery Clean","Walthamstow, London","Ad posted 
2 days ago"
10,"Professional Cleaner,Top quality End ofTenancy Cleaning,Good Domestic Cleaner,House Cleaner","North West London, London","Ad posted 
2 days ago"
11,Professional cleaning services. All London. Short notice.,"Balham, London","Ad posted 
2 days ago"
12,Professional cleaning services. End off tenancy. All London.,"Fulham, London","Ad posted 
2 days ago"
13,PROFESSIONAL CLEANING SERVICE! REGULAR DOMESTIC AND OFFICE CLEANING! E,"Acton, London","Ad posted 
2 days ago"
14,Professional cleaning services. All London. Short notice.,"Hammersmith, London","Ad posted 
2 days ago"
15,Professional cleaning services. All London. Short notice.,"Kensington, London","Ad posted 
2 days ago"
16,Professional cleaning services. Permanent and One off cleaning.,"Clapham Junction, London","Ad posted 
2 days ago"
17,Professional East Europe cleaners. Short notice. All London.,"Canada Water, London","Ad posted 
2 days ago"
18,PROFESSIONAL CLEANING TEAM! REGULAR DOMESTIC AND OFFICE CLEANING!,"Kennington, London","Ad posted 
2 days ago"
19,East Europe cleaners! Regular and one off cleaning! All London!,"Battersea, London","Ad posted 
2 days ago"
20,"Window cleaner , gutter cleaning","Kingston, London","Ad posted 
2 days ago"
21,Cleaning service,"Bromley, London","Ad posted 
3 days ago"
22,Lowest Price Guaranteed Short Notice Professional Deep Clean - End of Tenancy Clean-Move in Cleaning,"Ilford, London","Ad posted 
3 days ago"
23,Perfect & Guaranteed End of Tenancy Deep Clean - Short Notice - Lowest Price - Carpet Wash,"Canning Town, London","Ad posted 
3 days ago"
24,Perfect 👍 End of Tenancy Cleaning 👍 Move in or out Deep Clean 👍 Free carpet wash,"Surrey Quays, London","Ad posted 
3 days ago"
25,End of Tenancy cleaning - Special Offer Free carpet wash - Deep Clean - Domestic Clean,"Ilford, London","Ad posted 
3 days ago"
26,End of Tenancy Deep clean 👌 Professional Services 👌 Short Notice Cleaning 👌 Low Cost,"Bethnal Green, London","Ad posted 
3 days ago"
27,👌 Fully Guaranteed 👌 End of Tenancy Deep clean 👌 Professional Services 👌 Short Notice Cleaning,"Canary Wharf, London","Ad posted 
3 days ago"
28,Cheapest End of Tenancy Clean- carpet wash-Move in or Out Cleaning,"Bow, London","Ad posted 
3 days ago"
29,Deep Clean - End of Tenancy Cleaning with Free carpet wash - domestic clean,"Chingford, London","Ad posted 
3 days ago"
30,Guaranteed End of Tenancy Deep clean - Free Carpet shampoo wash - Short Notice,"Canary Wharf, London","Ad posted 
3 days ago"
31,▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄,▄▄▄▄▄▄▄▄▄▄,▄▄▄▄▄▄
32,Domestic Cleaner 2 days a week £14 per hour,"Clapham, London","Ad posted 
1 day ago"
33,Domestic cleaning service.Regular and one off cleaning,"Earls Court, London","Ad posted 
2 days ago"
34,Choose a Local Domestic Cleaner - from 12/h - Discount on First 3 Cleans - House Cleaners,"Southwark, London","Ad posted 
11 days ago"
35,"Domestic & Commercial Cleaning, End of Tenancy Cleaning, Carpet & Oven Cleaning, Office cleaning","Westminster, London","Ad posted 
3 days ago"
36,"Choose a Reliable Domestic Cleaner, from £12/h - Discount On First 3 Cleans - House Cleaners","Hackney, London","Ad posted 
11 days ago"
37,"EXPERIENCE CLEANER; Croydon, Purley, Sanderstand, Caterham, Coulsdon, Kenley","South Croydon, London","Ad posted 
2 days ago"
38,"Magic Dusters, Domestic cleaner available, same day cleaning, end of tenancy","Acton, London","Ad posted 
2 days ago"
39,Domestic cleaning service.Regular and one off cleaning,"Earls Court, London","Ad posted 
2 days ago"
