,Role,Area/Zip,Posted Datetime
0,"Office cleaning services from £12/h, Commercial cleaning, Regular office cleaning","City of London, London","Ad posted 
5 days ago"
1,London: Choose a Domestic Cleaner (House Cleaner) from £12/h - Discount First 3 Cleans,"Hyde Park, London","Ad posted 
11 days ago"
2,"Domestic & Commercial Cleaning, End of Tenancy Cleaning, Carpet & Oven Cleaning, Office cleaning","Westminster, London","Ad posted 
3 days ago"
3,"Choose a Domestic Cleaner, Pick a Time - from 12/h - Discount On First 3 Cleans (House Cleaners)","Ealing, London","Ad posted 
11 days ago"
4,Choose a Local Domestic Cleaner - from 12/h - Discount on First 3 Cleans - House Cleaners,"Southwark, London","Ad posted 
11 days ago"
5,💎💎SHORTNOTICE- CHEAPEST GUARANTEED💎 END OF TENANCY CLEANING-WITH FREE OVEN CLEANING,"East London, London","Ad posted 
2 days ago"
6,💎SHORTNOTICE💎 LONDON -CHEAPEST END OF TENANCY CLEANING-AFTER BUIlDING CLEAN💎EXCELLENT FEED BACK,"West London, London","Ad posted 
2 days ago"
7,End of Tenancy Cleaning Services,"Leytonstone, London","Ad posted 
2 days ago"
8,House Cleaning service,"Greenwich, London","Ad posted 
2 days ago"
9,"EXPERIENCE CLEANER; Croydon, Purley, Sanderstand, Caterham, Coulsdon, Kenley","South Croydon, London","Ad posted 
2 days ago"
10,"Magic Dusters, Domestic cleaner available, same day cleaning, end of tenancy","Acton, London","Ad posted 
2 days ago"
11,Domestic cleaning service.Regular and one off cleaning,"Earls Court, London","Ad posted 
2 days ago"
12,"Steam Clean Carpets From 17£, Sofa Cleaning, Rugs, Mattresses, End of Tenancy, Car Upholstery Clean","Walthamstow, London","Ad posted 
2 days ago"
13,"Professional Cleaner,Top quality End ofTenancy Cleaning,Good Domestic Cleaner,House Cleaner","North West London, London","Ad posted 
3 days ago"
14,Professional cleaning services. All London. Short notice.,"Balham, London","Ad posted 
3 days ago"
15,Professional cleaning services. End off tenancy. All London.,"Fulham, London","Ad posted 
3 days ago"
16,PROFESSIONAL CLEANING SERVICE! REGULAR DOMESTIC AND OFFICE CLEANING! E,"Acton, London","Ad posted 
3 days ago"
17,Professional cleaning services. All London. Short notice.,"Hammersmith, London","Ad posted 
3 days ago"
18,Professional cleaning services. All London. Short notice.,"Kensington, London","Ad posted 
3 days ago"
19,Professional cleaning services. Permanent and One off cleaning.,"Clapham Junction, London","Ad posted 
3 days ago"
20,Professional East Europe cleaners. Short notice. All London.,"Canada Water, London","Ad posted 
3 days ago"
