,Comapny_Name,Role,City/Zip,Datetime_Posted
0,Buzz Housekeeping,newOffice Cleaner,London,2 days ago
1,Iceland,newCleaner - Seasonal (London),London,1 day ago
2,Sadler’s Wells,newCleaner,Islington,6 days ago
3,Nandos,newNight Cleaner,London SW1V 1DZ,Today
4,Rendall & Rittner,Cleaner,Lambeth+2 locations,9 days ago
5,The Hoxton - Shoreditch,Night Cleaner,London EC2A 3HU,14 days ago
6,The Hoxton - Southwark,Night Cleaner,London SE1,13 days ago
7,Virgin Active,Female Cleaner,London EC1V 7DG,15 days ago
8,Rendall & Rittner,newCleaning Operative,Southwark SE1+1 location,7 days ago
9,Norse Group,newCleaner - Wessex Garden School,London,2 days ago
11,National Express,newCleaner / Shunter,Victoria,7 days ago
12,Maid2Clean,Private House Cleaner,Highbury+1 location,8 days ago
13,Buzz Bingo,Cleaner,London,12 days ago
15,Cleveland Clinic London,newHousekeeping Assistant- Domestic Cleaner,London SW1X 7HY,5 days ago
18,TC Facilities Management,Cleaner,London+2 locations,9 days ago
19,Maid2Clean,Private Cleaner,Haringey,15 days ago
20,Sodexo,Evening Cleaner,Greater London,27 days ago
21,Rendall & Rittner,Temporary Cleaner,London,20 days ago
23,Roman Catholic Diocese of Westminster,Cleaner Caritas St Joseph’s,London,12 days ago
24,Unite Students,newHousekeeper,London E20,7 days ago
25,Iceland,newCleaner (London),London,5 days ago
27,Humankind Charity,newCleaner,Haringey,Today
29,Virgin Active,Male Cleaner,London E14 8RR,14 days ago
30,J D Wetherspoon plc,"newCleaner / 7249 - The London & Western, Clapham Junction",London SW11 1LJ,2 days ago
32,Royal Free London NHS Foundation Trust,newBand 2 Decontamination Driver / Porter,London EN1,5 days ago
33,Zizzi,Cleaner,London SW5 9QF,11 days ago
35,Premier Inn,Team Member - Housekeeping,London SE1 3LP,12 days ago
36,The Royal Marsden NHS Foundation Trust,newHousekeeper,Chelsea,Today
37,ecosense cleaning,newCleaner required Covent Garden,Covent Garden+1 location,5 days ago
38,King Edward VII's Hospital,newTheatre Porter,London,7 days ago
39,AEG,Cleaning Operative,London E14 0FP,9 days ago
40,Bouygues Energies & Services Solutions,newHousekeeping Assistants - 06:00-10:00 - Mon to Fri,Southwark,5 days ago
41,Mears Group,Cleaner,London,16 days ago
42,The Hoxton - Southwark,Room Attendant,London SE1,22 days ago
43,Nuffield Health,newCleaner,Paddington,5 days ago
44,Premier Inn,Room Attendant,London SE1,16 days ago
45,St Pancras Hotel Group,newHousekeeper,London,2 days ago
46,Premier Inn,Room Attendant,London SE1,16 days ago
47,Mears Group,Cleaner,London,16 days ago
48,"Marriott International, Inc",newLuggage Porter,London W1J 7BX,5 days ago
49,ecosense cleaning,newCleaner required Covent Garden,Covent Garden+1 location,5 days ago
50,Mitie,newCleaning Operative,London E9 6ND,Just posted
52,Blue Arrow,newCleaner,London WC2R 2LS,7 days ago
53,Aspen Healthcare,newHousekeeper,London,4 days ago
54,Claibon,Cleaner / Estate Operative,London,24 days ago
55,Nuffield Health,newCleaner,Paddington,5 days ago
56,Bouygues Energies & Services Solutions,"School Cleaners - 15hrs p/week - 16:00-19:00, Mon-Fri",Shoreditch,19 days ago
57,Premier Inn,Team Member - Room Attendant,London SE1 9EF,16 days ago
59,The Hoxton - Holborn,Room Attendant,London WC1V 7BD,21 days ago
61,Progressis,CALLING ALL DAILY HOUSEKEEPERS - London,London,14 days ago
62,Tiger Recruitment Ltd,newUrgent House Keepers - Permanent - North London,London,5 days ago
63,ecosense cleaning,newImmediate start cleaner needed - Mayfair,London,5 days ago
64,Progressis,DAILY HOUSEKEEPER 8-3pm Kensington,London,22 days ago
65,wagamama,newKitchen porter,Canary Wharf E14 5NY+10 locations,Today
66,ecosense cleaning,Evening Cleaner required Immediate Start - St Paul,London,20 days ago
69,Elior,Cleaner,Leyton,20 days ago
72,Premier Inn,newTeam Member - Housekeeping London City Tower Hill,London E1 8BB,5 days ago
73,Welcome Break,newRoom Attendant,London,1 day ago
74,Portman Dental Care Ltd,Cleaner,London,22 days ago
75,First Port,Cleaning operative,London,26 days ago
76,Nuffield Health,newClean Team Member - Barbican Fitness & Wellbeing Centre,Barbican,1 day ago
77,Splendid Hospitality,Luggage Porter,London,10 days ago
78,Bouygues Energies & Services Solutions,"Office Cleaner - 06:00-14:00, Mon to Fri",Vauxhall,12 days ago
79,Royal Free London Property Services Limited,newPears Institute Housekeeper,London NW3 2QG,1 day ago
81,Nuffield Health,Cleaner Team Supervisor,Covent Garden,8 days ago
83,Fuller's,Housekeeper,London EC3N 1NU,8 days ago
86,Bouygues Energies & Services Solutions,"Office Cleaner - 1400-1800, Mon to Fri",Vauxhall,12 days ago
87,Four Seasons,newRoom Attendant,London,5 days ago
89,Churchill Service Solutions,Cleaning Operative,London,19 days ago
90,Anchor Trust,"Housekeeper - Silk Court, Bethnal Green",London E2 6LQ+1 location,17 days ago
91,ecosense cleaning,newNight shift Mobile Cleaner Required - London,London,Today
92,ENGIE,Cleaning Operative,London,9 days ago
93,Rocco Forte Hotels,Housekeeping Linen Porter - £9.21 per hour,London,19 days ago
94,Premier Inn,newHousekeeping,London,1 day ago
95,C&C,Domestic Assistants (Cleaning Assistants),London+1 location,12 days ago
97,Holiday Inn,newHousekeeper,London,1 day ago
100,J D Wetherspoon plc,"newCleaner / 635 - The Asparagus, Battersea",London SW11 2PL,Today
102,Kimpton (outside the Americas),newHousekeeper,London,1 day ago
103,Sugarman Education,Cleaner,London,22 days ago
104,Premier Work Support,newCleaning Operatives,London,Today
108,ecosense cleaning,newNight Cleaner required Immediate Start - Canning Town,Canning Town Station,5 days ago
112,Hilton Hotels & Resorts,Room Attendant (Casual),London,20 days ago
113,LXR by Hilton,newRoom Attendant,London,2 days ago
115,"Marriott International, Inc",newRoom Attendant,London E14 4ED,5 days ago
116,Aramark,Cleaning Services Worker,London SW1H 9EU,14 days ago
117,Pertemps Network Group,Contract Manager - Cleaning,London,20 days ago
118,The Newcastle upon Tyne Hospitals NHS Foundation...,newWard Housekeeper,Royal Victoria Station,2 days ago
120,Nuffield Health,Clean team,Covent Garden+1 location,13 days ago
121,Melia Hotels International,Room attendant,London,8 days ago
122,Sodexo,Cleaner,London,30 days ago
123,Gather & Gather,Kitchen Porter,London,14 days ago
125,Dorchester Collection,newEvening room attendant,London W1K 1QA,7 days ago
128,HomeOrganisers Ltd,newDaily Housekeeper Nanny,London,Today
130,North Downs Cleaning and Maintenance Ltd,newMorning Cleaner,London,1 day ago
133,Total Care Facilites Ltd,Cleaning Area Manager,London,13 days ago
136,Maybourne Hotel Group,Evening Room Attendant,London,26 days ago
138,Exclusive Household Staff,newHouse Porter,London,Today
140,hub by Premier Inn,Housekeeping Manager,London E1 6SN,9 days ago
141,Leaman Consulting,Live Out Housekeeper in Mayfair - ASAP Start,London,14 days ago
142,Care UK Residential Care Services,newDomestic,London N7 7DS,Today
143,SOFITEL,newHousekeeping Attendant,London SW1Y,1 day ago
144,Fuller's,Kitchen Porter,London N1 0EB,9 days ago
