,Area/Zip
0,"Angel, London EC1V"
1,"Bexley, London DA17"
2,"Sutton, London SM1"
3,"Enfield, London EN1"
4,"Newham, London E7"
5,"Bermondsey, London SE17"
6,"Stratford, London E3"
7,"Acton, London NW10"
8,"Haringey, London N8"
9,"Colindale, London NW9"
10,"Tooting, London SW17"
11,"Putney, London SW15"
12,"Haringey, London N22"
13,"Edmonton, London N18"
14,"Uxbridge, London UB10"
15,"Lewisham, London SE13"
16,"Covent Garden, London WC2H"
17,"Finchley, London NW11"
18,"Wembley, London HA0"
19,"Stratford, London E15"
20,"Acton, London NW10"
21,"Lambeth, London SW9"
22,"Hammersmith, London W6"
23,"Stratford, London E9"
24,"Waltham Forest, London E17"
25,"Stoke Newington, London N5"
26,"Covent Garden, London WC2H"
27,"Muswell Hill, London N22"
28,"West Hampstead, London NW2"
29,"Walton-on-Thames, Surrey TW16"
30,"Hammersmith and Fulham, London W14"
31,"West Hampstead, London NW10"
32,"Finsbury Park, London N4"
33,"Edgware, London NW7"
34,"Newham, London E13"
35,"Enfield, London EN1"
36,"Woolwich, London E16"
37,"Wembley, London HA9"
38,"Croydon, London CR0"
39,"Clapham, London SW8"
40,"Stoke Newington, London E5"
41,"Paddington, London W1U"
42,"Croydon, London CR7"
43,"Newham, London E13"
44,"Streatham, London SW16"
45,"Tower Hamlets, London E3"
46,"Wembley, London HA0"
47,"Peckham, London SE15"
48,"Finsbury Park, London N7"
49,"Sutton, London SM2"
50,"Westminster, London SE11"
51,"Hayes, London UB3"
52,"Clapham, London SW4"
53,"Clapham, London SW4"
54,"Angel, London N1"
55,"Dulwich, London SE27"
56,"Redbridge, London IG5"
57,"Brent, London NW10"
58,"Camberwell, London SE17"
59,"West Hampstead, London NW2"
60,"Camberwell, London SE5"
61,"Waltham Forest, London E17"
62,"Croydon, London CR0"
63,"Bromley, London BR1"
64,"Brent, London NW10"
65,"Barking, London E12"
66,"Lewisham, London SE12"
67,"Covent Garden, London WC2R"
68,"Canary Wharf, London SE16"
69,"Catford, London SE4"
70,"Bermondsey, London SE1"
71,Discounts available
72,"Putney, London SW15"
