,Company_Name,Role,Area/Zip
0,MCG Construction,Welfare Cleaner,"Wembley Park, HA9 8AD"
1,Property Management Recruitment (PMR),Cleaner + Caretaker - Temporary,"EC1, City of London"
2,Property Management Recruitment,Cleaner + Caretaker - Temporary,"City of London, London"
3,Property Management Recruitment (PMR),Temporary Caretaker/Cleaner,London
4,Property Management Recruitment,Temporary Caretaker/Cleaner,London
5,SkyBlue Solutions,Cleaner,"N7, North London, N7 8TT"
6,Property Management Recruitment (PMR),Temporary Cleaner/Caretaker,"IG1, Ilford"
7,RECRUITMENTiQ,Cleaner,London
8,Hays,CLEANER - LONDON,"Mile End, E1"
9,Hays,CLEANER - EAST LONDON,"Mile End, E1"
10,Service Care Solutions,Cleaner,"N1, North London"
11,Brook Street UK,Cleaner,"N1, North London"
12,Abbatt Property Recruitment,Cleaner - Permanent - E14,London
13,Abbatt Property Recruitment,Temporary Cleaner,"City of London, London"
14,Abbatt Property Recruitment,Cleaner,London
15,Abbatt Property Recruitment,Cleaner,London
16,Pertemps London,LIBRARY CLEANER WEST LONDON,"Central London, London"
17,Wild Recruitment,Cleaner,"NW1, North West London"
18,Setsquare,Cleaner,"North West London, London"
19,Ontrak Recruitment,Cleaner,"Wimbledon, SW19 7NL"
20,Swanstaff Recruitment Ltd,Cleaner,"St. Pauls Cray, BR5 3RT"
21,Stafforce,Cleaner,"East London, London"
22,Third Space,Male Cleaner - Third Space - Canary Wharf,"E14, East London, E14 5ER"
23,Property Management Recruitment (PMR),"Temporary Cleaner - Various Luxury Buildings, London",London
24,Property Management Recruitment,"Temporary Cleaner - Various Luxury Buildings, London",London
